tconst,average_rating
4972,6.3
13257,7.7
16220,7.6
17136,8.3
19702,7.0
22958,7.4
23427,7.8
24034,7.4
24216,7.9
26029,7.6
27125,7.8
27652,7.9
29583,7.6
30241,7.8
30287,7.5
31455,7.8
32138,8.0
32143,7.8
32455,7.7
32976,8.1
34167,7.7
34248,7.4
34583,8.5
37008,8.0
38559,7.6
38787,8.0
38991,7.4
40416,7.6
40662,7.8
40724,7.8
41154,8.3
41699,7.9
41719,8.0
42369,7.3
42546,7.9
43456,7.7
43949,7.2
44008,8.1
44672,6.6
45883,7.1
45888,7.1
46126,7.0
46303,7.6
46359,8.0
47034,7.6
47437,7.7
47522,7.6
47528,8.0
47573,7.2
48281,7.7
48356,7.7
48452,8.3
49261,7.6
49408,7.4
50086,7.6
50212,8.1
50613,8.1
51554,7.3
51658,6.7
52357,8.3
52365,7.1
52618,8.1
52948,7.0
53270,7.3
53580,6.8
53619,7.9
54047,7.7
57413,7.1
54130,8.0
54215,8.5
54331,7.9
54387,7.6
54407,8.5
54997,8.0
55614,7.5
55928,7.2
56059,7.2
56193,7.6
56218,7.9
56736,7.9
56923,7.9
56937,7.0
57129,7.5
57163,7.8
57372,6.7
57449,6.6
57611,7.9
57877,7.8
58329,7.1
58331,7.8
58385,7.8
58777,7.7
59017,6.8
59260,7.2
59274,7.9
59742,8.0
59825,7.8
60086,7.0
60176,7.6
60315,7.2
60390,7.2
60827,8.1
60955,7.7
61452,5.1
61619,7.6
61770,7.4
62480,7.2
62622,8.3
62765,7.4
62952,7.6
63385,7.4
63442,8.0
63462,7.6
63611,8.0
63678,7.2
63688,7.0
63850,7.5
64276,7.3
64505,7.3
64541,7.9
65126,7.4
65234,8.3
65377,6.6
65528,7.1
66026,7.5
66206,7.9
66434,6.7
66491,7.5
66580,8.2
66808,7.0
66831,7.1
66921,8.3
67023,7.6
67128,7.4
67309,7.1
67334,6.7
67741,6.6
67800,7.5
68646,9.2
68931,6.9
69113,7.1
69281,8.0
69293,8.1
69895,6.1
69947,7.8
69762,7.8
70047,8.0
70608,7.6
70511,8.0
70643,7.3
70666,7.7
70698,6.9
70707,7.2
70735,8.3
70948,5.9
70849,7.0
70917,7.5
71110,5.7
71402,7.0
71222,7.2
71455,5.9
71746,7.6
71771,7.1
71577,6.4
71877,7.3
72271,7.5
72281,7.2
72431,8.0
72308,7.0
73312,7.7
73195,8.0
73440,7.7
73705,6.4
73707,8.2
73747,6.9
73631,6.6
73812,6.6
74156,7.4
74285,7.4
74751,5.9
74811,7.7
74958,8.1
75005,7.5
74899,6.8
75612,7.8
75148,8.1
75265,6.1
75648,5.7
75686,8.0
75925,6.2
75784,7.4
75860,7.6
76054,6.3
76504,5.7
76150,6.5
76162,7.4
76590,6.3
76740,7.7
76759,8.6
77355,6.9
77402,7.9
77416,8.1
77451,7.8
77588,6.3
77631,7.2
77651,7.7
77681,6.3
77713,5.7
77742,7.4
77745,7.4
77766,5.8
77869,6.2
77889,6.8
77914,7.1
77928,7.6
78087,5.9
78346,7.3
78504,5.5
78748,8.4
78767,6.2
79261,7.6
79501,6.9
79522,7.9
79540,6.2
79638,7.3
79714,6.7
79817,7.3
79871,7.6
79944,8.1
80009,7.3
80130,6.5
80339,7.7
80354,6.0
80569,6.5
80661,7.1
80716,6.6
80749,6.8
80923,6.6
80979,8.0
81114,6.5
81353,5.3
81383,5.4
81505,8.4
81554,7.3
81573,6.8
81698,6.8
82031,6.9
82096,8.3
82186,6.9
82198,6.9
82269,7.2
82348,7.4
82484,7.3
82495,6.5
82694,7.6
82782,6.3
82869,6.6
82933,7.4
82971,8.4
82979,7.3
83131,6.9
83169,6.8
83190,7.4
83511,6.9
83564,6.6
83658,8.1
83739,6.6
83943,6.0
83944,7.7
83987,8.0
84335,7.7
84516,7.3
84522,6.2
84827,6.8
84726,7.7
84934,8.1
85210,7.2
85382,6.1
85404,7.0
85701,6.7
85811,6.1
86022,8.1
86154,6.5
86200,6.8
86216,7.2
86250,8.3
86425,7.4
86525,6.4
84777,7.1
84787,8.1
84805,7.4
86873,6.7
84809,5.8
86879,8.3
87015,5.6
86960,7.3
86969,7.3
87056,7.8
87075,6.7
86993,7.1
87089,6.6
87182,6.4
87277,6.6
87469,7.5
87538,7.3
87800,7.5
87909,6.8
87985,6.4
87995,6.9
88024,5.9
88172,7.0
88247,8.0
88763,8.5
88846,7.9
88930,7.3
88944,6.7
88979,6.3
88993,7.1
89003,5.9
89013,6.7
89114,6.5
89155,6.9
89175,7.1
89469,6.4
89560,7.2
89881,8.2
89885,7.2
89927,6.9
89941,7.2
90329,7.4
90583,6.2
90605,8.3
90756,7.7
90859,5.8
90887,6.1
90888,7.1
90966,6.2
87332,7.8
91159,6.3
91203,7.1
91217,7.5
91223,6.2
91369,7.4
91445,6.9
91495,7.0
91538,7.3
91670,8.0
91763,8.1
91867,7.3
91875,6.6
91886,7.4
91954,7.0
92076,5.6
92099,6.9
92563,7.3
92610,6.6
92618,7.2
92644,6.5
92666,6.0
92675,6.8
93058,8.3
92890,7.0
92925,6.0
93075,6.1
93185,7.0
93378,6.9
93409,7.6
93493,5.9
93603,8.7
93512,7.7
93605,7.0
93578,7.8
93677,7.0
93693,6.9
93793,6.1
93773,7.8
93870,7.6
93886,6.6
93894,6.7
94035,6.8
94291,7.4
94715,7.0
94737,7.3
94625,8.0
94894,6.7
94919,5.5
95016,8.2
95174,6.9
95488,5.9
95583,6.0
95800,7.7
95953,8.0
95956,5.8
96061,7.0
95963,6.1
96438,7.7
96446,7.3
96320,6.1
96764,7.2
96874,7.8
96895,7.5
97138,5.1
97235,6.5
97428,6.6
97240,7.3
97441,7.8
97493,7.2
97499,7.5
97637,6.0
97576,8.2
97733,7.2
97770,6.4
98141,5.7
98084,6.6
98320,5.5
98354,6.5
98546,7.0
98575,7.0
98663,6.1
99077,7.8
99088,7.4
99165,5.6
99012,6.6
99422,6.1
99423,7.1
99348,8.0
99582,6.6
99785,7.6
99653,7.1
99800,6.5
99810,7.6
99938,6.2
100029,6.2
100142,7.4
100157,7.8
100201,6.4
100263,7.3
100403,6.3
100405,7.0
100485,6.2
100502,5.8
100507,5.3
99726,6.7
100514,5.9
99740,6.0
100758,6.8
100802,7.5
100814,7.1
101026,7.0
101272,6.9
101316,6.9
101507,7.8
101414,8.0
101453,5.9
101516,6.8
101587,6.8
101745,6.2
101786,6.5
101829,7.6
102057,6.8
102005,6.1
102059,6.8
102070,5.8
102250,6.7
102138,8.0
102175,6.6
102293,7.1
102303,5.9
102492,6.9
102614,6.1
102526,6.7
102685,7.3
102558,5.1
102782,5.2
102803,6.5
102926,8.6
102943,7.1
102945,6.3
103130,7.4
103247,6.7
103594,6.5
103596,5.3
103639,8.0
103644,6.5
103759,7.1
103767,8.6
103772,7.0
103776,7.0
104029,6.7
103859,5.6
103874,7.4
104070,6.6
104231,6.6
104237,6.8
104257,7.7
104412,6.5
104438,5.8
104868,6.6
104691,7.7
104692,5.4
104940,7.7
104694,7.3
104714,6.7
104990,6.9
104815,6.9
104839,6.1
105104,5.9
105271,8.2
105112,6.9
105121,6.4
105378,6.7
105399,6.5
105226,7.0
105415,6.7
105236,8.3
105435,7.1
105629,5.1
105698,6.0
106226,7.2
106582,6.4
106611,7.0
106673,6.8
106918,6.8
106941,6.2
106950,5.9
107151,6.9
107156,7.6
107206,7.2
107362,6.4
107290,8.1
107302,6.7
107315,6.5
107497,6.4
107529,6.9
107616,7.3
107756,7.2
107653,7.8
107818,7.7
108122,7.7
108160,6.8
108002,7.5
108162,5.1
108171,6.1
108186,5.8
108188,7.5
108101,7.3
108211,7.5
108333,6.4
108358,7.8
109254,5.6
109444,6.9
109445,7.7
109456,5.2
109370,5.9
109635,6.1
109676,5.6
109686,7.3
109707,7.8
109759,7.1
109830,8.8
109831,7.1
109836,6.4
109936,6.3
110005,7.3
110081,8.3
110099,6.2
110213,6.0
110265,6.5
110357,8.5
110367,7.3
110413,8.5
110475,6.9
110478,7.0
110570,7.4
110613,5.3
110632,7.3
110638,6.5
110678,6.1
110771,6.7
110889,7.1
110912,8.9
110955,6.9
110989,5.4
111070,6.5
111127,6.8
111149,7.3
111161,9.3
111201,5.9
111255,5.6
111257,7.2
111280,6.6
111400,5.5
111438,5.9
111503,7.2
111512,7.6
111667,6.8
111742,6.2
111756,6.7
112384,7.6
112401,6.3
112431,6.8
112442,6.9
112462,5.4
112471,8.1
112508,6.4
112553,8.1
112573,8.3
112579,7.6
112641,8.2
112681,7.5
112688,6.9
112697,6.9
112715,5.2
112760,5.7
112817,7.6
112851,7.2
112864,7.6
112883,6.7
113118,7.3
113189,7.2
113243,6.2
113247,8.1
113277,8.2
113326,6.8
113409,7.2
113451,5.3
113481,5.7
113492,5.6
113497,7.0
113537,6.8
113540,7.1
113799,7.6
113957,5.9
113987,7.1
114168,6.6
114214,6.4
114287,6.9
114319,6.3
114323,7.2
114345,5.3
114367,6.4
114369,8.6
114508,5.8
114558,7.2
114614,5.4
114709,8.3
114814,8.5
114898,6.2
114924,6.7
115433,5.7
115561,7.4
115678,7.3
115693,6.0
115697,6.3
115734,7.0
115783,5.8
115798,6.1
115862,6.0
115964,6.4
116095,5.4
116168,5.2
116191,6.7
116209,7.4
116213,6.1
116231,8.2
116250,6.3
116277,5.9
116282,8.1
116287,6.2
116322,5.3
116361,6.8
116367,7.2
116477,7.7
116483,7.0
116493,5.9
116583,7.0
116629,7.0
116630,8.1
116669,5.8
116695,7.3
116705,5.6
116722,6.9
116790,7.8
116830,6.4
116908,6.8
117008,6.9
117038,5.7
117039,7.2
117060,7.1
117218,5.6
109504,7.0
109506,7.6
117407,7.4
117420,5.6
117500,7.4
109555,7.8
117571,7.3
109579,7.3
117603,6.9
117802,7.2
117665,7.6
117666,8.0
117883,7.4
117723,5.4
117894,5.8
117918,6.4
117998,6.4
117951,8.1
118073,5.8
118111,7.5
118749,7.9
118564,6.9
118751,7.9
118570,5.3
118571,6.5
118767,8.0
118771,6.9
118604,5.1
118607,7.3
118789,7.5
118617,7.2
118826,7.7
118689,6.5
118880,6.9
118884,7.5
118887,6.9
118954,7.4
119094,7.2
119099,7.0
119114,6.7
118998,5.4
119051,6.9
119142,5.8
119164,7.2
119173,6.0
119174,7.7
119177,7.8
119190,5.5
119282,7.3
119336,5.9
119345,5.7
119250,7.8
119375,7.3
119468,6.6
119395,6.4
119485,7.0
119396,7.5
119558,6.9
119654,7.3
119592,6.3
119664,5.5
119643,7.2
119668,6.6
119670,7.3
119675,6.0
119861,7.0
119874,6.0
119891,5.4
119715,6.5
119925,6.1
119731,6.1
119942,6.7
119951,6.9
119791,6.2
119807,6.7
119822,7.7
120053,6.2
120070,7.3
120082,6.2
120094,6.8
120241,6.9
120148,6.7
120157,6.0
120324,7.5
120177,5.2
120338,7.8
120184,6.1
120188,7.1
120201,7.2
120363,7.9
120399,6.7
120586,8.5
120587,6.5
120461,5.5
120591,6.7
120483,6.6
120484,6.1
120514,6.9
120596,5.1
120601,7.7
120611,7.1
120616,7.0
120620,6.5
120630,7.0
120631,7.0
120789,7.5
120791,6.3
120633,6.6
120646,6.4
120794,7.1
120797,6.0
120802,7.6
120804,6.7
120812,7.0
120815,8.6
120824,6.7
120832,6.0
120655,7.3
120834,6.8
120660,7.3
120855,7.3
120663,7.4
120863,7.6
120667,5.7
120866,7.1
120669,7.6
120679,7.4
120681,6.8
120877,6.1
120684,7.4
120685,5.4
120686,6.8
120689,8.6
120888,6.9
120693,6.7
120696,5.9
120902,7.0
120710,5.5
120903,7.4
120716,6.5
120907,6.8
120912,6.2
120913,6.6
120738,5.2
120746,6.8
120751,5.7
120762,7.6
120764,5.1
122151,6.6
122459,6.9
120784,7.1
122690,7.3
122933,6.7
123209,6.5
123948,7.4
123755,7.2
123964,6.8
123865,7.0
124198,6.3
124298,6.6
124315,7.4
124819,6.1
125022,6.2
124901,7.2
125439,7.1
126029,7.9
125454,6.5
125664,7.4
126604,6.4
126886,7.2
126916,6.6
127536,7.4
128332,8.2
128278,6.6
128445,7.7
129332,7.0
129167,8.0
129290,6.8
130121,5.9
130623,6.5
131325,6.4
131369,6.1
131857,6.5
132347,6.1
132477,7.8
132512,6.0
133093,8.7
133152,5.7
133240,7.2
134084,5.6
133751,6.5
133952,6.4
134154,6.7
134273,6.5
134847,7.1
137338,6.0
138097,7.1
137363,7.2
137494,6.3
137523,8.8
138510,6.2
138704,7.4
138946,6.4
138749,6.9
139134,6.8
139239,7.2
139362,6.6
139668,6.6
139414,5.7
139699,6.5
139462,6.2
140352,7.8
139809,7.1
141098,5.4
141109,5.4
142192,6.1
141926,6.6
142688,6.7
142342,6.4
144084,7.6
143145,6.4
144117,7.7
144120,5.4
144168,6.2
144640,6.1
145487,7.3
145503,7.5
145531,6.2
145893,5.3
145681,6.7
146309,7.3
145734,7.0
146316,5.8
146675,5.8
146336,5.6
146838,6.9
147612,7.7
146882,7.5
146984,6.7
149261,5.9
149691,6.2
149624,5.8
150377,6.5
151137,6.4
151804,7.7
151738,6.1
155267,6.9
152930,7.0
154420,8.1
154421,6.8
155776,5.7
156812,7.0
156934,5.2
157472,5.2
157503,6.6
157583,6.4
158811,6.3
159097,7.2
159273,6.4
159365,7.2
159382,7.1
160009,5.7
160184,5.3
160399,6.2
160797,6.4
160916,6.0
161081,6.6
162222,7.8
162346,7.3
162650,6.0
162661,7.3
162677,6.7
162973,7.5
163025,5.9
163187,5.6
163651,7.0
163978,6.7
163983,5.1
163988,6.8
164052,5.8
164108,5.7
164114,5.8
164181,7.0
164184,6.4
164212,6.5
164334,6.4
164538,7.6
164912,5.9
165546,8.0
165710,6.9
165854,7.0
165929,6.1
166485,6.7
166943,6.8
167190,6.8
167404,8.1
167427,5.1
168501,6.8
168786,7.3
158493,6.2
169547,8.3
170016,6.2
171433,6.4
172156,6.6
172396,7.1
172495,8.5
174480,5.6
174856,7.6
175142,6.2
175880,8.0
176783,5.9
177789,7.3
177858,7.7
177971,6.4
178868,7.2
179098,6.6
179626,6.1
180073,7.3
180734,6.4
181316,6.3
181689,7.6
181865,7.6
181875,7.9
181984,7.0
182789,6.9
183523,5.7
183649,7.0
183659,7.0
183869,6.5
184791,6.1
184858,5.8
184894,6.6
184907,5.1
185014,7.3
185371,5.6
185431,5.3
185937,6.5
186045,5.7
186151,7.3
171580,6.2
186894,5.7
186566,6.5
187078,6.5
187393,7.2
187738,6.7
189584,6.6
189192,5.8
190332,7.8
190419,7.3
190138,6.7
190865,5.9
191754,6.1
191397,6.6
192071,5.7
192255,5.8
192111,5.5
192614,5.6
194314,5.3
195234,6.9
195945,6.2
195685,7.4
195714,6.7
196857,5.5
196216,6.7
198021,6.8
196229,6.5
199753,5.7
200071,7.5
200550,5.7
200654,8.0
202677,6.7
202402,5.5
202470,6.3
203009,7.6
203019,7.2
204626,5.3
204175,5.4
204946,6.0
205873,7.2
206634,7.9
206314,6.6
206420,5.3
207201,6.4
208874,6.9
208092,8.3
209144,8.4
208988,5.2
209163,6.4
209475,5.3
209958,6.4
210945,7.8
210065,6.7
210070,6.8
210616,6.7
258470,5.6
212338,7.0
212346,6.3
212985,6.8
213149,6.2
213790,5.2
213847,7.5
214388,5.8
215129,6.4
215750,7.6
217505,7.5
217630,5.3
217756,5.4
217869,7.3
218553,5.9
218839,7.5
218922,6.1
218967,6.8
219699,6.7
219854,6.1
219965,6.5
220580,6.9
221027,7.6
221073,7.2
221218,5.8
222012,7.9
222851,7.1
223897,7.2
225071,5.6
227005,6.4
227445,6.8
227538,5.5
228750,6.3
230030,6.0
230600,7.6
231775,5.5
232500,6.8
233422,7.4
233469,5.5
234215,7.2
234354,5.8
234829,5.1
235198,7.2
236348,5.5
236493,6.1
236784,6.2
237534,7.0
237572,6.8
238546,5.3
238552,5.4
238883,7.8
238936,7.6
239948,5.9
240200,7.7
240510,6.5
240900,5.4
241025,6.2
241303,7.2
241760,5.9
242193,6.9
242445,5.6
242653,6.8
243664,8.0
243862,7.1
244244,6.5
244316,8.2
244970,6.1
245562,6.1
245686,6.0
245803,5.5
245844,7.7
246460,6.1
246464,6.5
246578,8.0
246677,7.0
246989,5.4
247199,7.1
247425,7.4
247638,6.4
247745,7.1
248126,7.4
248667,6.8
249462,7.7
249478,5.6
250224,6.4
250323,6.6
250494,6.3
250687,6.4
250797,6.7
251075,6.1
251160,7.1
252076,5.3
252299,6.8
252501,6.9
252503,6.5
252866,6.4
253474,8.5
253556,6.2
253798,6.3
253867,5.2
254686,7.5
255067,7.3
255589,7.0
255819,6.4
256103,6.1
256276,6.3
256380,5.9
256415,6.2
256524,6.7
257044,7.7
257076,6.0
257106,5.3
257360,7.1
257756,6.4
258000,6.8
258038,5.3
258068,7.0
258153,6.1
258463,7.9
259288,6.1
259324,5.3
259393,7.3
259446,6.6
259711,6.9
261289,5.3
261392,6.8
261983,6.4
263488,6.2
263757,6.2
264323,5.3
264395,6.5
264464,8.1
264472,6.5
264508,6.3
264616,7.2
264761,6.5
264796,7.5
264935,6.2
265086,7.7
265298,5.5
265349,6.4
265459,6.8
265662,6.9
265666,7.6
266452,6.3
266465,6.1
266489,5.9
266543,8.1
266915,6.6
266987,7.1
267287,6.5
267913,5.2
268126,7.7
268380,7.5
268695,6.0
268978,8.2
268995,6.9
269095,6.1
269347,6.1
270288,7.0
271027,6.6
271367,5.4
272020,7.0
272152,7.4
272207,7.1
273435,6.1
273517,5.4
274166,6.2
274558,7.5
274812,7.0
275083,7.1
275719,7.2
275773,6.4
276751,7.1
276816,6.2
276919,8.0
277027,7.6
277296,5.5
277371,5.7
277434,7.2
278295,5.9
278435,5.8
278488,6.3
278504,7.2
